UniprotID	Q4KWH8-2
Accession	Q4KWH8;Q29RV9;Q4KWH9;Q68CN0;Q86XK4;Q9H9U2;Q9UPT3
EntryName	PLCH1_HUMAN
ProteinName	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)
GeneName	PLCH1 KIAA1069 PLCL3
Length	1655
Function	The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by calcium-activated phosphatidylinositol-specific phospholipase C enzymes.
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5075986
pNuLoCRegion	122...131;570...579;668...674
