UniprotID	Q86TV6-2
Accession	Q86TV6;Q86U24;Q86VT3
EntryName	TTC7B_HUMAN
ProteinName	Tetratricopeptide repeat protein 7B (TPR repeat protein 7B) (Tetratricopeptide repeat protein 7-like-1) (TPR repeat protein 7-like-1)
GeneName	TTC7B TTC7L1
Length	860
Function	Component of a complex required to localize phosphatidylinositol 4-kinase (PI4K) to the plasma membrane. The complex acts as a regulator of phosphatidylinositol 4-phosphate (PtdIns(4)P) synthesis. In the complex, plays a central role in bridging PI4KA to EFR3B and HYCC1, via direct interactions (PubMed:26571211).
Subcellular Location	Cytoplasm; Cytosol; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.55402684
pNuLoCRegion	
