UniprotID	Q96KN7-5
Accession	Q96KN7;Q7Z2W6;Q8IXV5;Q96QA8;Q9HB94;Q9HB95;Q9HBK6;Q9NR40
EntryName	RPGR1_HUMAN
ProteinName	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1 (RPGR-interacting protein 1)
GeneName	RPGRIP1
Length	902
Function	May function as scaffolding protein. Required for normal location of RPGR at the connecting cilium of photoreceptor cells. Required for normal disk morphogenesis and disk organization in the outer segment of photoreceptor cells and for survival of photoreceptor cells.
Subcellular Location	Cell projection; Cilium
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7286457
pNuLoCRegion	15...37;378...392;442...467
