UniprotID	Q9BXB5-2
Accession	Q9BXB5;B4E212;Q9BTU5
EntryName	OSB10_HUMAN
ProteinName	Oxysterol-binding protein-related protein 10 (ORP-10) (OSBP-related protein 10)
GeneName	OSBPL10 ORP10 OSBP9
Length	700
Function	Probable lipid transporter involved in lipid countertransport between the endoplasmic reticulum and the plasma membrane. Its ability to bind phosphatidylserine, suggests that it specifically exchanges phosphatidylserine with phosphatidylinositol 4-phosphate (PI4P), delivering phosphatidylserine to the plasma membrane in exchange for PI4P (Probable) (PubMed:23934110). Plays a role in negative regulation of lipid biosynthesis (PubMed:19554302). Negatively regulates APOB secretion from hepatocytes (PubMed:19554302, PubMed:22906437). Binds cholesterol and acidic phospholipids (PubMed:22906437). Also binds 25-hydroxycholesterol (PubMed:17428193). Binds phosphatidylserine (PubMed:23934110).
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.26546794
pNuLoCRegion	64...65
