UniprotID	Q5TAT6-6
Accession	Q5TAT6;A6NFR5;B9EGD2;E7EWL8;Q13992;Q13993;Q13994;Q13995;Q13996;Q5TAT4;Q5TAT5;Q7KZ33;Q7KZ49;Q99228;Q9NQ52
EntryName	CODA1_HUMAN
ProteinName	Collagen alpha-1(XIII) chain (COLXIIIA1)
GeneName	COL13A1
Length	703
Function	Involved in cell-matrix and cell-cell adhesion interactions that are required for normal development. May participate in the linkage between muscle fiber and basement membrane. May play a role in endochondral ossification of bone and branching morphogenesis of lung. Binds heparin. At neuromuscular junctions, may play a role in acetylcholine receptor clustering (PubMed:26626625).
Subcellular Location	Cell membrane; Postsynaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.029894201
pNuLoCRegion	
