UniprotID	A5D8W1-2
Accession	A5D8W1;A3KMP9;B4DYW6;B4DZP7;B9EIM7;Q6V705;Q8IY89;Q9H7C2
EntryName	CFA69_HUMAN
ProteinName	Cilia- and flagella-associated protein 69
GeneName	CFAP69 C7orf63
Length	895
Function	Cilium- and flagellum-associated protein (PubMed:29606301). In the olfactory epithelium, regulates the speed of activation and termination of the odor response and thus contributes to the robustness of olfactory transduction pathways (By similarity). Required for sperm flagellum assembly and stability (PubMed:29606301).
Subcellular Location	Cell projection; Cilium; Cell projection; Cilium; Flagellum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4614373
pNuLoCRegion	4...14;28...41
