UniprotID	Q9ULK4-2
Accession	Q9ULK4;B9TX55;O95403;Q5JWT3;Q5JWT4;Q6P9H6;Q9H0J2;Q9NTT9;Q9NTU0;Q9Y5P7;Q9Y667
EntryName	MED23_HUMAN
ProteinName	Mediator of RNA polymerase II transcription subunit 23 (Activator-recruited cofactor 130 kDa component) (ARC130) (Cofactor required for Sp1 transcriptional activation subunit 3) (CRSP complex subunit 3) (Mediator complex subunit 23) (Protein sur-2 homolog) (hSur-2) (Transcriptional coactivator CRSP130) (Vitamin D3 receptor-interacting protein complex 130 kDa component) (DRIP130)
GeneName	MED23 ARC130 CRSP3 DRIP130 KIAA1216 SUR2
Length	886
Function	Required for transcriptional activation subsequent to the assembly of the pre-initiation complex (By similarity). Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional pre-initiation complex with RNA polymerase II and the general transcription factors. Required for transcriptional activation by adenovirus E1A protein. Required for ELK1-dependent transcriptional activation in response to activated Ras signaling.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8022307
pNuLoCRegion	2...22;160...161
