UniprotID	Q9ULK2-3
Accession	Q9ULK2;A4D0Q2;B4DTS1;Q8N2T0
EntryName	AT7L1_HUMAN
ProteinName	Ataxin-7-like protein 1 (Ataxin-7-like protein 4)
GeneName	ATXN7L1 ATXN7L4 KIAA1218
Length	738
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7975997
pNuLoCRegion	516...534;657...674;682...704;710...724
