UniprotID	Q3T8J9-2
Accession	Q3T8J9;B7ZBL4;Q14C93;Q3T8J8;Q5VYZ5;Q5W0D5;Q6AWA6;Q6P1Q6;Q7Z3L3;Q8IY79;Q9BQI1;Q9HCG6
EntryName	GON4L_HUMAN
ProteinName	GON-4-like protein (GON-4 homolog)
GeneName	GON4L GON4 KIAA1606
Length	1529
Function	Has transcriptional repressor activity, probably as part of a complex with YY1, SIN3A and HDAC1. Required for B cell lymphopoiesis.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.95632297
pNuLoCRegion	1...27;54...76;125...132;243...264;415...418;478...485;510...524;539...557;561...569;592...604
