UniprotID	Q9Y5L0-1
Accession	Q9Y5L0;A4D1K9;C9IZM0;Q6NUM1;Q96G71;Q96GU9;Q9Y3R2
EntryName	TNPO3_HUMAN
ProteinName	Transportin-3 (Importin-12) (Imp12) (Transportin-SR) (TRN-SR)
GeneName	TNPO3 IPO12
Length	957
Function	Importin, which transports target proteins into the nucleus (PubMed:10366588, PubMed:10713112, PubMed:11517331, PubMed:12628928, PubMed:24449914). Specifically mediates the nuclear import of splicing factor serine/arginine (SR) proteins, such as RBM4, SFRS1 and SFRS2, by recognizing phosphorylated SR domains (PubMed:10366588, PubMed:10713112, PubMed:11517331, PubMed:12628928, PubMed:24449914). Also mediates the nuclear import of serine/arginine (SR) protein CPSF6, independently of CPSF6 phosphorylation (PubMed:30916345, PubMed:31465518). The nuclear import process is regulated by the small GTPase Ran that partitions between cytoplasm and nucleus in the predominantly GDP- and GTP-bound form, respectively (PubMed:23878195, PubMed:24449914). Importin associates with target cargo proteins in the cytoplasm, and the competitive binding of GTP-bound Ran induces the release of cargos in the nucleus (PubMed:23878195, PubMed:24449914).
Subcellular Location	Nucleus envelope; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66919714
pNuLoCRegion	44...62
