UniprotID	Q8N568-2
Accession	Q8N568;C9J5Q9;Q59GC8;Q8N399
EntryName	DCLK2_HUMAN
ProteinName	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)
GeneName	DCLK2 DCAMKL2 DCDC3B DCK2
Length	765
Function	Protein kinase with a significantly reduced C(a2+)/CAM affinity and dependence compared to other members of the CaMK family. May play a role in the down-regulation of CRE-dependent gene activation probably by phosphorylation of the CREB coactivator CRTC2/TORC2 and the resulting retention of TORC2 in the cytoplasm (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.85981095
pNuLoCRegion	6...37
