UniprotID	Q8IW35-2
Accession	Q8IW35;B5MDY8;Q8NA71;Q9H5T9
EntryName	CEP97_HUMAN
ProteinName	Centrosomal protein of 97 kDa (Cep97) (Leucine-rich repeat and IQ domain-containing protein 2)
GeneName	CEP97 LRRIQ2
Length	891
Function	Acts as a key negative regulator of ciliogenesis in collaboration with CCP110 by capping the mother centriole thereby preventing cilia formation (PubMed:17719545, PubMed:30375385). Required for recruitment of CCP110 to the centrosome (PubMed:17719545).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4691373
pNuLoCRegion	126...131;669...674;712...713;730...749;809...814;841...846
