UniprotID	Q3KPI9
Accession	Q3KPI9;F5GWY7
EntryName	Q3KPI9_HUMAN
ProteinName	protein-tyrosine-phosphatase (EC 3.1.3.48)
GeneName	PTPRD
Length	1496
Function	
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.012147662
pNuLoCRegion	
