UniprotID	Q7Z2D5-4
Accession	Q7Z2D5;E7EPS1;O75043;Q5T9R9;Q86XQ5;Q8N3F1;Q96MP0
EntryName	PLPR4_HUMAN
ProteinName	Phospholipid phosphatase-related protein type 4 (Brain-specific phosphatidic acid phosphatase-like protein 1) (Inactive 2-lysophosphatidate phosphatase PLPPR4) (Lipid phosphate phosphatase-related protein type 4) (Plasticity-related gene 1 protein) (PRG-1)
GeneName	PLPPR4 KIAA0455 LPPR4 PHP1 PRG1
Length	715
Function	Postsynaptic density membrane protein that indirectly regulates glutamatergic synaptic transmission through lysophosphatidic acid (LPA)-mediated signaling pathways. Binds lysophosphatidic acid (LPA) and mediates its internalization into cells. Could act as receptor or a transporter of this lipid at the post-synaptic membrane (By similarity). Modulates lysophosphatidic acid (LPA) activity in neuron axonal outgrowth during development by attenuating phospholipid-induced axon collapse (By similarity).
Subcellular Location	Postsynaptic density membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.05160043
pNuLoCRegion	31...34
