UniprotID	Q7Z4T9-3
Accession	Q7Z4T9;A0AVK2;A8K1J9;B3KP23;B4DG52;B4DZ14;C9JUG4;Q68DX2;Q8TD41;Q96A45;Q96JE8
EntryName	CFA91_HUMAN
ProteinName	Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)
GeneName	CFAP91 AAT1 C3orf15 MAATS1
Length	705
Function	Involved in sperm flagellum axonemal organization and function (PubMed:12223483, PubMed:32161152). May regulate cilium motility through its role in the assembly of the axonemal radial spokes (By similarity).
Subcellular Location	Mitochondrion; Cytoplasm; Cytoplasm; Cytoskeleton; Cilium axoneme; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8391582
pNuLoCRegion	84...107;198...225
