UniprotID	Q9NRZ9-2
Accession	Q9NRZ9;B2RB41;Q3LID1;Q6I7N7;Q76H76;Q76H77;Q76H78;Q76H79;Q76H80;Q76H81;Q7Z397;Q7Z5X2;Q8N6P4;Q9H4P5
EntryName	HELLS_HUMAN
ProteinName	Lymphoid-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin subfamily A member 6)
GeneName	HELLS PASG SMARCA6 Nbla10143
Length	822
Function	Plays an essential role in normal development and survival. Involved in regulation of the expansion or survival of lymphoid cells. Required for de novo or maintenance DNA methylation. May control silencing of the imprinted CDKN1C gene through DNA methylation. May play a role in formation and organization of heterochromatin, implying a functional role in the regulation of transcription and mitosis (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92593527
pNuLoCRegion	15...21;110...132
