UniprotID	Q9UBT6-8
Accession	Q9UBT6;B2RBD2;Q5Q9G5;Q5Q9G6;Q5Q9G7;Q5Q9G8;Q86VJ8;Q8IZY0;Q8IZY1;Q8NB30;Q96L01;Q96Q86;Q96Q87;Q9UHC5
EntryName	POLK_HUMAN
ProteinName	DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)
GeneName	POLK DINB1
Length	780
Function	DNA polymerase specifically involved in DNA repair. Plays an important role in translesion synthesis, where the normal high-fidelity DNA polymerases cannot proceed and DNA synthesis stalls. Depending on the context, it inserts the correct base, but causes frequent base transitions, transversions and frameshifts. Lacks 3'-5' proofreading exonuclease activity. Forms a Schiff base with 5'-deoxyribose phosphate at abasic sites, but does not have lyase activity.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8370858
pNuLoCRegion	21...32;74...96;164...173
