UniprotID	Q7RTP6-4
Accession	Q7RTP6;B2RXJ5;E9PEF0;O94909;Q5U4P4;Q6ICK4;Q96DF2;Q9P2I3
EntryName	MICA3_HUMAN
ProteinName	[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3)
GeneName	MICAL3 KIAA0819 KIAA1364
Length	966
Function	Monooxygenase that promotes depolymerization of F-actin by mediating oxidation of specific methionine residues on actin to form methionine-sulfoxide, resulting in actin filament disassembly and preventing repolymerization. In the absence of actin, it also functions as a NADPH oxidase producing H(2)O(2). Seems to act as Rab effector protein and plays a role in vesicle trafficking. Involved in exocytic vesicles tethering and fusion: the monooxygenase activity is required for this process and implicates RAB8A associated with exocytotic vesicles. Required for cytokinesis. Contributes to stabilization and/or maturation of the intercellular bridge independently of its monooxygenase activity. Promotes recruitment of Rab8 and ERC1 to the intercellular bridge, and together these proteins are proposed to function in timely abscission.
Subcellular Location	Cytoplasm; Cytoplasm; Cell cortex; Cytoplasm; Cytoskeleton; Nucleus; Midbody; Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8429004
pNuLoCRegion	7...13;314...322;346...357;680...692;828...835
