UniprotID	Q96PQ7-4
Accession	Q96PQ7;A8K170;B7WP68;E9PCF4;F8WAE7;G3XA92;Q6Y881;Q86XW0;Q9NUK3;Q9NV27;Q9NVA9;Q9Y2X2
EntryName	KLHL5_HUMAN
ProteinName	Kelch-like protein 5
GeneName	KLHL5
Length	694
Function	
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.11257184
pNuLoCRegion	
