UniprotID	Q8IVV2-3
Accession	Q8IVV2;B7WNN3;B7WNT1;B7WPI9;H7BZ41;Q6ZRY7;Q86WW9;Q96DL7
EntryName	LOXH1_HUMAN
ProteinName	Lipoxygenase homology domain-containing protein 1
GeneName	LOXHD1
Length	1114
Function	Involved in hearing. Required for normal function of hair cells in the inner ear (By similarity).
Subcellular Location	Cell projection; Stereocilium
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.50248134
pNuLoCRegion	19...37;1013...1032
