UniprotID	Q8NDV3-2
Accession	Q8NDV3;A0AV46;B0QY23;B0QY24;Q5TIC3;Q6ZUF9;Q9Y3G5
EntryName	SMC1B_HUMAN
ProteinName	Structural maintenance of chromosomes protein 1B (SMC protein 1B) (SMC-1-beta) (SMC-1B)
GeneName	SMC1B SMC1L2
Length	1161
Function	Meiosis-specific component of cohesin complex. Required for the maintenance of meiotic cohesion, but not, or only to a minor extent, for its establishment. Contributes to axial element (AE) formation and the organization of chromatin loops along the AE. Plays a key role in synapsis, recombination and chromosome movements. The cohesin complex is required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At anaphase, the complex is cleaved and dissociates from chromatin, allowing sister chromatids to segregate. The meiosis-specific cohesin complex probably replaces mitosis specific cohesin complex when it dissociates from chromatin during prophase I (By similarity).
Subcellular Location	Nucleus; Chromosome; Chromosome; Centromere
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6821869
pNuLoCRegion	168...197
