UniprotID	Q9UBL0-4
Accession	Q9UBL0;B4DG96;Q49AK3;Q49AS6;Q4G0V4;Q6NYC3;Q86V31;Q9UF93
EntryName	ARP21_HUMAN
ProteinName	cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)
GeneName	ARPP21 TARPP
Length	793
Function	Isoform 2 may act as a competitive inhibitor of calmodulin-dependent enzymes such as calcineurin in neurons.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9315221
pNuLoCRegion	10...34
