UniprotID	Q8NEU8-3
Accession	Q8NEU8;B7Z411;B7Z4B0;F5GZG0;F8W1P5;Q8N4R7;Q9NVL2
EntryName	DP13B_HUMAN
ProteinName	DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)
GeneName	APPL2 DIP13B
Length	670
Function	Multifunctional adapter protein that binds to various membrane receptors, nuclear factors and signaling proteins to regulate many processes, such as cell proliferation, immune response, endosomal trafficking and cell metabolism (PubMed:15016378, PubMed:24879834, PubMed:26583432). Regulates signaling pathway leading to cell proliferation through interaction with RAB5A and subunits of the NuRD/MeCP1 complex (PubMed:15016378). Plays a role in immune response by modulating phagocytosis, inflammatory and innate immune responses. In macrophages, enhances Fc-gamma receptor-mediated phagocytosis through interaction with RAB31 leading to activation of PI3K/Akt signaling. In response to LPS, modulates inflammatory responses by playing a key role on the regulation of TLR4 signaling and in the nuclear translocation of RELA/NF-kappa-B p65 and the secretion of pro- and anti-inflammatory cytokines. Also functions as a negative regulator of innate immune response via inhibition of AKT1 signaling pathway by forming a complex with APPL1 and PIK3R1 (By similarity). Plays a role in endosomal trafficking of TGFBR1 from the endosomes to the nucleus (PubMed:26583432). Plays a role in cell metabolism by regulating adiponecting ans insulin signaling pathways and adaptative thermogenesis (By similarity) (PubMed:24879834). In muscle, negatively regulates adiponectin-simulated glucose uptake and fatty acid oxidation by inhibiting adiponectin signaling pathway through APPL1 sequestration thereby antagonizing APPL1 action (By similarity). In muscles, negatively regulates insulin-induced plasma membrane recruitment of GLUT4 and glucose uptake through interaction with TBC1D1 (PubMed:24879834). Plays a role in cold and diet-induced adaptive thermogenesis by activating ventromedial hypothalamus (VMH) neurons throught AMPK inhibition which enhances sympathetic outflow to subcutaneous white adipose tissue (sWAT), sWAT beiging and cold tolerance (By similarity). Also plays a role in other signaling pathways namely Wnt/beta-catenin, HGF and glucocorticoid receptor signaling (By similarity) (PubMed:19433865). Positive regulator of beta-catenin/TCF-dependent transcription through direct interaction with RUVBL2/reptin resulting in the relief of RUVBL2-mediated repression of beta-catenin/TCF target genes by modulating the interactions within the beta-catenin-reptin-HDAC complex (PubMed:19433865). May affect adult neurogenesis in hippocampus and olfactory system via regulating the sensitivity of glucocorticoid receptor. Required for fibroblast migration through HGF cell signaling (By similarity).
Subcellular Location	Early endosome membrane; Nucleus; Cell membrane; Endosome membrane; Cytoplasm; Cytoplasmic vesicle; Phagosome; Cell projection; Ruffle; Cell projection; Ruffle membrane; Cell membrane; Cytoplasmic vesicle; Phagosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8697746
pNuLoCRegion	1...23
