UniprotID	Q6ZMI0-5
Accession	Q6ZMI0;B7ZKY5;B7ZKY7;E1B6W7;Q2TA78;Q6ZMI6;Q8IW83;Q8J029;Q96ES8
EntryName	PPR21_HUMAN
ProteinName	Protein phosphatase 1 regulatory subunit 21 (Coiled-coil domain-containing protein 128) (Ferry endosomal RAB5 effector complex subunit 2) (Fy-2) (KLRAQ motif-containing protein 1)
GeneName	PPP1R21 CCDC128 FERRY2 KLRAQ1
Length	738
Function	Component of the FERRY complex (Five-subunit Endosomal Rab5 and RNA/ribosome intermediary) (PubMed:37267905, PubMed:37267906). The FERRY complex directly interacts with mRNAs and RAB5A, and functions as a RAB5A effector involved in the localization and the distribution of specific mRNAs most likely by mediating their endosomal transport. The complex recruits mRNAs and ribosomes to early endosomes through direct mRNA-interaction (PubMed:37267905). In the complex, PPP1R21 serves as a binding hub connecting all five complex subunits and mediating the binding to mRNA and early endosomes via RAB5A (PubMed:37267906). Putative regulator of protein phosphatase 1 (PP1) activity (PubMed:19389623). May play a role in the endosomal sorting process or in endosome maturation pathway (Probable) (PubMed:30520571).
Subcellular Location	Early endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5980151
pNuLoCRegion	22...38;86...103
