UniprotID	Q9UHF7-3
Accession	Q9UHF7;B4E1Z5;Q08AU2;Q9NWE1;Q9UHH6
EntryName	TRPS1_HUMAN
ProteinName	Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79)
GeneName	TRPS1
Length	1285
Function	Transcriptional repressor. Binds specifically to GATA sequences and represses expression of GATA-regulated genes at selected sites and stages in vertebrate development. Regulates chondrocyte proliferation and differentiation. Executes multiple functions in proliferating chondrocytes, expanding the region of distal chondrocytes, activating proliferation in columnar cells and supporting the differentiation of columnar into hypertrophic chondrocytes.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.94746214
pNuLoCRegion	45...69;236...250;345...362;444...452;928...929;957...963;1229...1243
