UniprotID	Q96PV7-3
Accession	Q96PV7;E9PET5;Q9NW00
EntryName	F193B_HUMAN
ProteinName	Protein FAM193B
GeneName	FAM193B IRIZIO KIAA1931
Length	822
Function	
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.91662997
pNuLoCRegion	19...38;97...97
