UniprotID	Q9NZB2-6
Accession	Q9NZB2;A6NGU0;C4AMC6;O60649;Q14688;Q4VXF4;Q4VXF5;Q4VXG2;Q86V69;Q96I21;Q9NZB1
EntryName	F120A_HUMAN
ProteinName	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated SRC activator) (Protein FAM120A)
GeneName	FAM120A C9orf10 KIAA0183 OSSA
Length	1146
Function	Component of the oxidative stress-induced survival signaling. May regulate the activation of SRC family protein kinases (PubMed:19015244). May act as a scaffolding protein enabling SRC family protein kinases to phosphorylate and activate PI3-kinase (PubMed:19015244). Binds IGF2 RNA and promotes the production of IGF2 protein (PubMed:19015244).
Subcellular Location	Cytoplasm; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.356401
pNuLoCRegion	123...132
