UniprotID	Q7Z6E9-2
Accession	Q7Z6E9;Q147T5;Q15290;Q6DKH4;Q6P4C2;Q6YNC9;Q7Z6E8;Q8N0V2;Q96PH3;Q9H3I8;Q9H5M5;Q9NPX4
EntryName	RBBP6_HUMAN
ProteinName	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)
GeneName	RBBP6 P2PR PACT RBQ1 My038
Length	1758
Function	E3 ubiquitin-protein ligase which promotes ubiquitination of YBX1, leading to its degradation by the proteasome (PubMed:18851979). May play a role as a scaffold protein to promote the assembly of the p53/TP53-MDM2 complex, resulting in increase of MDM2-mediated ubiquitination and degradation of p53/TP53; may function as negative regulator of p53/TP53, leading to both apoptosis and cell growth (By similarity). Regulates DNA-replication and the stability of chromosomal common fragile sites (CFSs) in a ZBTB38- and MCM10-dependent manner. Controls ZBTB38 protein stability and abundance via ubiquitination and proteasomal degradation, and ZBTB38 in turn negatively regulates the expression of MCM10 which plays an important role in DNA-replication (PubMed:24726359).
Subcellular Location	Nucleus; Nucleolus; Chromosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9721896
pNuLoCRegion	8...22;41...61;164...167;903...916;1036...1045;1106...1125;1170...1192;1291...1294;1376...1392;1709...1715;1740...1754
