UniprotID	Q9NRL2-2
Accession	Q9NRL2;Q9NZ15;Q9P065;Q9UIG1;Q9Y3V3
EntryName	BAZ1A_HUMAN
ProteinName	Bromodomain adjacent to zinc finger domain protein 1A (ATP-dependent chromatin-remodeling protein) (ATP-utilizing chromatin assembly and remodeling factor 1) (hACF1) (CHRAC subunit ACF1) (Williams syndrome transcription factor-related chromatin-remodeling factor 180) (WCRF180) (hWALp1)
GeneName	BAZ1A ACF1 WCRF180 HSPC317
Length	1524
Function	Regulatory subunit of the ATP-dependent ACF-1 and ACF-5 ISWI chromatin remodeling complexes, which form ordered nucleosome arrays on chromatin and slide edge- and center-positioned histone octamers away from their original location on the DNA template to facilitate access to DNA during DNA-templated processes such as DNA replication, transcription, and repair (PubMed:17099699, PubMed:28801535). Both complexes regulate the spacing of nucleosomes along the chromatin and have the ability to slide mononucleosomes to the center of a DNA template in an ATP-dependent manner (PubMed:14759371, PubMed:17099699, PubMed:28801535). The ACF-1 ISWI chromatin remodeling complex has a lower ATP hydrolysis rate than the ACF-5 ISWI chromatin remodeling complex (PubMed:28801535). Has a role in sensing the length of DNA which flank nucleosomes, which modulates the nucleosome spacing activity of the ACF-5 ISWI chromatin remodeling complex (PubMed:17099699). Involved in DNA replication and together with SMARCA5/SNF2H is required for replication of pericentric heterochromatin in S-phase (PubMed:12434153). May have a role in nuclear receptor-mediated transcription repression (PubMed:17519354).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84989625
pNuLoCRegion	270...299;712...729;1324...1337;1369...1393
