UniprotID	Q9UJ98-2
Accession	Q9UJ98;A6H8Z1;B4DZ10;D6W5U8;H7BYK9;Q8NDP3
EntryName	STAG3_HUMAN
ProteinName	Cohesin subunit SA-3 (SCC3 homolog 3) (Stromal antigen 3) (Stromalin-3)
GeneName	STAG3
Length	888
Function	Meiosis specific component of cohesin complex. The cohesin complex is required for the cohesion of sister chromatids after DNA replication. The cohesin complex apparently forms a large proteinaceous ring within which sister chromatids can be trapped. At anaphase, the complex is cleaved and dissociates from chromatin, allowing sister chromatids to segregate. The meiosis-specific cohesin complex probably replaces mitosis specific cohesin complex when it dissociates from chromatin during prophase I.
Subcellular Location	Nucleus; Chromosome; Chromosome; Centromere
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7229314
pNuLoCRegion	53...73;731...751;786...799;846...855
