UniprotID	Q7RTY7-2
Accession	Q7RTY7;H0YH00
EntryName	OVCH1_HUMAN
ProteinName	Ovochymase-1 (EC 3.4.21.-)
GeneName	OVCH1
Length	1090
Function	
Subcellular Location	Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.00758095
pNuLoCRegion	
