UniprotID	Q58F21-3
Accession	Q58F21;A6NF68;B7Z811;B7Z890;B7ZAX7;D3DT32;O14789;Q05DQ4;Q6P5T1;Q7Z4A6;Q8IWI6
EntryName	BRDT_HUMAN
ProteinName	Bromodomain testis-specific protein (Cancer/testis antigen 9) (CT9) (RING3-like protein)
GeneName	BRDT
Length	951
Function	Testis-specific chromatin protein that specifically binds histone H4 acetylated at 'Lys-5' and 'Lys-8' (H4K5ac and H4K8ac, respectively) and plays a key role in spermatogenesis (PubMed:22464331, PubMed:22901802). Required in late pachytene spermatocytes: plays a role in meiotic and post-meiotic cells by binding to acetylated histones at the promoter of specific meiotic and post-meiotic genes, facilitating their activation at the appropriate time (PubMed:22901802). In the post-meiotic phase of spermatogenesis, binds to hyperacetylated histones and participates in their general removal from DNA (PubMed:22901802). Also recognizes and binds a subset of butyrylated histones: able to bind histone H4 butyrylated at 'Lys-8' (H4K8ac), while it is not able to bind H4 butyrylated at 'Lys-5' (H4K5ac) (By similarity). Also acts as a component of the splicing machinery in pachytene spermatocytes and round spermatids and participates in 3'-UTR truncation of specific mRNAs in post-meiotic spermatids (By similarity). Required for chromocenter organization, a structure comprised of peri-centromeric heterochromatin.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9174178
pNuLoCRegion	134...134;211...230;253...278;492...498;587...602;630...630;656...669;733...733;755...772
