UniprotID	Q5H8C1-2
Accession	Q5H8C1;B7ZBX4;Q5VV00;Q5VV01;Q6MZI4;Q8NEG9;Q96LI3
EntryName	FREM1_HUMAN
ProteinName	FRAS1-related extracellular matrix protein 1 (Protein QBRICK)
GeneName	FREM1 C9orf143 C9orf145 C9orf154
Length	715
Function	Extracellular matrix protein that plays a role in epidermal differentiation and is required for epidermal adhesion during embryonic development.
Subcellular Location	Secreted; Extracellular space; Extracellular matrix; Basement membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.38781127
pNuLoCRegion	
