UniprotID	Q9BQI5-3
Accession	Q9BQI5;A6NL81;A6NLD1;Q4LE32;Q5VYE2;Q5VYE3;Q5VYE4;Q68D76;Q6MZY6;Q8IWC2
EntryName	SGIP1_HUMAN
ProteinName	SH3-containing GRB2-like protein 3-interacting protein 1 (Endophilin-3-interacting protein)
GeneName	SGIP1
Length	859
Function	May function in clathrin-mediated endocytosis. Has both a membrane binding/tubulating activity and the ability to recruit proteins essential to the formation of functional clathrin-coated pits. Has a preference for membranes enriched in phosphatidylserine and phosphoinositides and is required for the endocytosis of the transferrin receptor. May also bind tubulin. May play a role in the regulation of energy homeostasis.
Subcellular Location	Membrane; Clathrin-coated pit
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.38970837
pNuLoCRegion	115...128
