UniprotID	Q5T5P2-7
Accession	Q5T5P2;A5LHW9;A6NLF3;A6PVQ5;A6PVQ6;A6PVQ7;B9EGK4;Q4KMG4;Q5T5P3;Q5T7H3;Q6MZZ6;Q6ZUI4;Q8WV45;Q9NSR2;Q9ULK3
EntryName	SKT_HUMAN
ProteinName	Sickle tail protein homolog
GeneName	KIAA1217 SKT
Length	1349
Function	Required for normal development of intervertebral disks.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8217932
pNuLoCRegion	17...36
