UniprotID	Q9UPN4-3
Accession	Q9UPN4;A6NHI8;B2RN11;Q96F50
EntryName	CP131_HUMAN
ProteinName	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)
GeneName	CEP131 AZI1 KIAA1118
Length	1044
Function	Component of centriolar satellites contributing to the building of a complex and dynamic network required to regulate cilia/flagellum formation (PubMed:17954613, PubMed:24185901). In proliferating cells, MIB1-mediated ubiquitination induces its sequestration within centriolar satellites, precluding untimely cilia formation initiation (PubMed:24121310). In contrast, during normal and ultraviolet or heat shock cellular stress-induced ciliogenesis, its non-ubiquitinated form is rapidly displaced from centriolar satellites and recruited to centrosome/basal bodies in a microtubule- and p38 MAPK-dependent manner (PubMed:24121310, PubMed:26616734). Also acts as a negative regulator of BBSome ciliary trafficking (PubMed:24550735). Plays a role in sperm flagellar formation; may be involved in the regulation of intraflagellar transport (IFT) and/or intramanchette (IMT) trafficking, which are important for axoneme extension and/or cargo delivery to the nascent sperm tail (By similarity). Required for optimal cell proliferation and cell cycle progression; may play a role in the regulation of genome stability in non-ciliogenic cells (PubMed:22797915, PubMed:26297806). Involved in centriole duplication (By similarity). Required for CEP152, WDR62 and CEP63 centrosomal localization and promotes the centrosomal localization of CDK2 (PubMed:26297806). Essential for maintaining proper centriolar satellite integrity (PubMed:30804208).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriolar satellite; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Cilium basal body; Cytoplasmic vesicle; Secretory vesicle; Acrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7676298
pNuLoCRegion	9...36;60...65;104...119
