UniprotID	Q8IZU2-2
Accession	Q8IZU2;E7EQX0;Q0QD35
EntryName	WDR17_HUMAN
ProteinName	WD repeat-containing protein 17
GeneName	WDR17
Length	1283
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.80280167
pNuLoCRegion	29...51;70...75;123...145;181...187;212...220;398...413;723...730
