UniprotID	Q8WWI1-3
Accession	Q8WWI1;E9PLH4;O15462;O95346;Q5TBK6;Q9UKC1;Q9UQM5;Q9Y6A7
EntryName	LMO7_HUMAN
ProteinName	LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)
GeneName	LMO7 FBX20 FBXO20 KIAA0858
Length	1349
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.27767447
pNuLoCRegion	
