UniprotID	Q9BZ11-2
Accession	Q9BZ11;A0A1K6;Q5JT75;Q5JT76;Q8N0W6
EntryName	ADA33_HUMAN
ProteinName	Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33) (EC 3.4.24.-)
GeneName	ADAM33 C20orf153 UNQ873/PRO1891
Length	787
Function	
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.05995604
pNuLoCRegion	1...1
