UniprotID	A5PLN7-3
Accession	A5PLN7;B5MDB8;Q2TAN6;Q7Z2S5;Q9Y4T9
EntryName	F149A_HUMAN
ProteinName	Protein FAM149A
GeneName	FAM149A MST119
Length	772
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5989465
pNuLoCRegion	
