UniprotID	Q9Y5I3-3
Accession	Q9Y5I3;O75288;Q9NRT7
EntryName	PCDA1_HUMAN
ProteinName	Protocadherin alpha-1 (PCDH-alpha-1)
GeneName	PCDHA1
Length	807
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane; Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.040763408
pNuLoCRegion	
