UniprotID	Q8NE01-2
Accession	Q8NE01;B3KX67;Q8TBV4;Q96IW4;Q9NRK4;Q9NXW6
EntryName	CNNM3_HUMAN
ProteinName	Metal transporter CNNM3 (Ancient conserved domain-containing protein 3) (Cyclin-M3)
GeneName	CNNM3 ACDP3
Length	659
Function	Probable metal transporter.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0119326515
pNuLoCRegion	
