UniprotID	Q5JVG2-3
Accession	Q5JVG2;B1AL89;B4DRI2
EntryName	ZN484_HUMAN
ProteinName	Zinc finger protein 484
GeneName	ZNF484
Length	854
Function	May be involved in transcriptional regulation.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.96450394
pNuLoCRegion	26...34;63...66;174...188;225...265;346...370;396...424;437...451;457...484;494...539;560...599;605...617;622...651;667...695;697...731;742...772;790...807;845...850
