UniprotID	Q2V2M9-3
Accession	Q2V2M9;A8MQT4;E5F5Q0;Q642I2;Q6ZRQ7;Q86TF9;Q8N3A5;Q9C0G8;Q9H604;Q9H6G7
EntryName	FHOD3_HUMAN
ProteinName	FH1/FH2 domain-containing protein 3 (Formactin-2) (Formin homolog overexpressed in spleen 2) (hFHOS2)
GeneName	FHOD3 FHOS2 KIAA1695
Length	1439
Function	Actin-organizing protein that may cause stress fiber formation together with cell elongation (By similarity). Isoform 4 may play a role in actin filament polymerization in cardiomyocytes.
Subcellular Location	Cytoplasm; Cytoskeleton; Cytoplasm; Myofibril; Sarcomere; Z line
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.34345683
pNuLoCRegion	
