UniprotID	Q9UQR1-2
Accession	Q9UQR1;D3DN27;O00389;O43591;Q58EY5;Q6PJ98
EntryName	ZN148_HUMAN
ProteinName	Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)
GeneName	ZNF148 ZBP89
Length	131
Function	Involved in transcriptional regulation. Represses the transcription of a number of genes including gastrin, stromelysin and enolase. Binds to the G-rich box in the enhancer region of these genes.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84411395
pNuLoCRegion	8...40
pNuLoCScore	0.15426322755555555,0.1495057528,0.14671756527272728,0.14593520733333334,0.14827174138461538,0.14918590414285715,0.1495565538666667,0.15639637112500002,0.1666056275294118,0.15480749929411766,0.15941052870588232,0.1717377916470588,0.19643526558823526,0.22193563970588231,0.24484670941176467,0.2651484952941176,0.2933916676470588,0.3246998352941177,0.35272296588235297,0.38482535764705883,0.4141848829411765,0.44013789176470597,0.46730069647058825,0.49666664058823534,0.5289797347058824,0.556711391764706,0.5890899964705882,0.6115502982352943,0.6345428841176471,0.6532524682352941,0.6701968817647058,0.6874187435294118,0.7073222317647058,0.7196146905882352,0.7298720552941176,0.7417110141176471,0.7491301876470589,0.7583468699999999,0.7686486347058823,0.7787158676470589,0.7870355735294117,0.78599166,0.78512566,0.7844667247058823,0.7848555170588236,0.7857342135294116,0.78683996,0.7883125041176471,0.7897067341176471,0.7904419970588235,0.7913474188235294,0.7926076741176469,0.7932519488235295,0.793672495882353,0.7939476664705882,0.7943854488235295,0.7980993864705884,0.8010604629411765,0.8047677747058823,0.8086859217647059,0.8127088482352941,0.8163458100000001,0.8196988747058822,0.8227496064705881,0.8255666158823529,0.827898215882353,0.8302334058823531,0.8318432047058826,0.8333877117647059,0.8351637582352942,0.836770364117647,0.8384050699999999,0.8397604523529411,0.8377258788235293,0.8363804552941175,0.8346482023529412,0.8328314023529412,0.8309875347058823,0.8292699729411764,0.8277106200000001,0.8263227811764705,0.8249646858823528,0.8241594588235293,0.8234943135294118,0.8233230635294118,0.8231481970588237,0.8229595029411765,0.8227889911764708,0.8231093264705883,0.8239948029411766,0.8249323941176472,0.8259855911764706,0.8267641070588235,0.8278589541176471,0.8287982541176471,0.8297764364705882,0.8309626541176471,0.8320785694117646,0.8334030552941176,0.8345485494117647,0.8356256476470589,0.8367063623529412,0.8378228629411765,0.8388664735294117,0.8400262147058823,0.8407482441176471,0.8410305500000002,0.8412859205882354,0.8414254200000001,0.8417868864705883,0.8419653082352943,0.8422907729411766,0.8426452494117649,0.8429185223529414,0.8433215188235295,0.8436299423529412,0.8440266247058823,0.8444298952941176,0.844833292352941,0.8452709488235293,0.8463545541176468,0.8469572188235291,0.8470043394117647,0.8472560231249999,0.8475524113333333,0.8478673235714286,0.8482013176923077,0.84854823,0.8488777054545456,0.8491861760000001,0.8494723244444444
pNuLoCDScore	0.01234239997385625,0.0005442717385621132,0.005147301150326772,0.017474564091503247,0.042172038032679715,0.06767241215032677,0.09058348185620912,0.11088526773856205,0.13912844009150327,0.17519408249411772,0.2060054006096257,0.23889015031372549,0.2659131415565611,0.2909519876218488,0.3177441426039216,0.34027026946323535,0.3623741071764707,0.40190389247058833,0.4296794677647059,0.43981250658823545,0.4381076185294119,0.43131682852941183,0.42535017235294115,0.4222702482352942,0.41393056411764695,0.3949148552941175,0.3771490894117646,0.35688565647058823,0.33494530470588235,0.3182089782352939,0.30134793823529404,0.28204922705882357,0.2580558388235292,0.22928026823529402,0.1960356635294117,0.17291642647058802,0.15031263294117647,0.1324817452941175,0.11664307823529418,0.10089376058823529,0.08238450235294137,0.07082730647058821,0.06147536352941185,0.050896659999999816,0.0441217611764706,0.03532562588235311,0.025299031764705937,-0.026255102732026164,-0.03788180802614377,-0.0486080668496732,-0.05735297155555555,-0.058517740967320264,-0.05557610132026142,-0.05206025014379084,-0.050039872496732,-0.048625729555555525,-0.04194313177647052,-0.03631141108021385,-0.031377024029411726,-0.027185776027149278,-0.02435581395798317,-0.02124875804705878,-0.0181117549705882,-0.015675502117646983,-0.0032894515294117355,0.007353864352941192,0.01565513258823531,0.016568191411764743,0.01303320411764708,0.008674715882352968,0.00559992647058824,0.0030652617647058955,0.0007996170588235318,-0.0013454029411764934,-0.003368956470588269,-0.0052381658823529575,-0.006079904705882405,-0.006567024117647091,-0.007736376470588252,-0.008760121176470653,-0.009731077647058828,-0.010107258235294098,-0.009381093529411771,-0.008706813529411772,-0.007726465882352984,-0.006754605882352938,-0.005228931764705902,-0.003708788235294136,-0.0021757541176470885,-0.00039380588235291003,0.0015050894117647484,0.0031844994117647407,0.004595435882353005,0.005325846470588286,0.006318982352941177,0.009051228235294112,0.01096868294117645,0.014128787058823533,0.016878122352941227,0.019125697647058848,0.021233174705882374,0.023538404705882338,0.025581768823529416,0.027630322941176455,0.02972543941176467,0.0315852764705882,0.03349476882352939,0.03533811941176465,0.037317127058823535,0.03945948117647052,0.041437944117647035,0.04155312294117647,0.04085008294117645,0.039840066470588215,0.03745840823529406,0.0348641683823529,0.03274953349019605,0.030910877310924373,0.029074133257918522,0.02733883019607844,0.025476629732620354,0.023462892705882338,0.021360698431372532,0.018510233137254917,0.01574253196078429,0.01289987078431376,0.010183663137254939,0.0076954319607843436,0.006692628431372555,0.005001664313725479,0.004351459019607845
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
