UniprotID	Q8WXS8-3
Accession	Q8WXS8;Q5T4G0;Q5T4G1;Q8TE55;Q8TEY8
EntryName	ATS14_HUMAN
ProteinName	A disintegrin and metalloproteinase with thrombospondin motifs 14 (ADAM-TS 14) (ADAM-TS14) (ADAMTS-14) (EC 3.4.24.-)
GeneName	ADAMTS14
Length	1159
Function	Has aminoprocollagen type I processing activity in the absence of ADAMTS2 (PubMed:11741898). Seems to be synthesized as a latent enzyme that requires activation to display aminoprocollagen peptidase activity (PubMed:11741898). Cleaves lysyl oxidase LOX at a site downstream of its propeptide cleavage site to produce a short LOX form (PubMed:31152061).
Subcellular Location	Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6507845
pNuLoCRegion	181...203;229...233
