UniprotID	Q5T5C0-2
Accession	Q5T5C0;Q14DF3;Q5T5C1;Q5T5C2;Q8NBG8;Q96NG9
EntryName	STXB5_HUMAN
ProteinName	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)
GeneName	STXBP5 LLGL3
Length	1115
Function	Plays a regulatory role in calcium-dependent exocytosis and neurotransmitter release. Inhibits membrane fusion between transport vesicles and the plasma membrane. May modulate the assembly of trans-SNARE complexes between transport vesicles and the plasma membrane. Inhibits translocation of GLUT4 from intracellular vesicles to the plasma membrane. Competes with STXBP1 for STX1 binding (By similarity).
Subcellular Location	Cytoplasm; Cell membrane; Cytoplasmic vesicle membrane; Cytoplasmic vesicle; Secretory vesicle; Synaptic vesicle; Synapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.1944303
pNuLoCRegion	19...38
