UniprotID	Q96PE3-2
Accession	Q96PE3;O15326;Q13187;Q53TD8;Q8TC02
EntryName	INP4A_HUMAN
ProteinName	Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Type I inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)
GeneName	INPP4A
Length	938
Function	Catalyzes the hydrolysis of the 4-position phosphate of phosphatidylinositol 3,4-bisphosphate (PtdIns(3,4)P2) (PubMed:15716355, PubMed:20463662). Also catalyzes inositol 1,3,4-trisphosphate and inositol 1,4-bisphosphate (By similarity). Antagonizes the PI3K-AKT/PKB signaling pathway by dephosphorylating phosphoinositides and thereby modulating cell cycle progression and cell survival (By similarity) (PubMed:30071275). May protect neurons from excitotoxic cell death by regulating the synaptic localization of cell surface N-methyl-D-aspartate-type glutamate receptors (NMDARs) and NMDAR-mediated excitatory postsynaptic current (By similarity).
Subcellular Location	Early endosome membrane; Recycling endosome membrane; Cell membrane; Nucleus; Cytoplasm; Postsynaptic density
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66340816
pNuLoCRegion	37...66
