UniprotID	Q9P2J2-2
Accession	Q9P2J2
EntryName	TUTLA_HUMAN
ProteinName	Protein turtle homolog A (Immunoglobulin superfamily member 9A) (IgSF9A)
GeneName	IGSF9 IGSF9A KIAA1355 NRT1
Length	1163
Function	Functions in dendrite outgrowth and synapse maturation.
Subcellular Location	Cell membrane; Synapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5228038
pNuLoCRegion	756...776
