UniprotID	Q9UPY3-2
Accession	Q9UPY3;A7E2D3;B3KRG4;E0AD28;O95943;Q9UQ02
EntryName	DICER_HUMAN
ProteinName	Endoribonuclease Dicer (EC 3.1.26.3) (Helicase with RNase motif) (Helicase MOI)
GeneName	DICER1 DICER HERNA KIAA0928
Length	1829
Function	Double-stranded RNA (dsRNA) endoribonuclease playing a central role in short dsRNA-mediated post-transcriptional gene silencing. Cleaves naturally occurring long dsRNAs and short hairpin pre-microRNAs (miRNA) into fragments of twenty-one to twenty-three nucleotides with 3' overhang of two nucleotides, producing respectively short interfering RNAs (siRNA) and mature microRNAs. SiRNAs and miRNAs serve as guide to direct the RNA-induced silencing complex (RISC) to complementary RNAs to degrade them or prevent their translation. Gene silencing mediated by siRNAs, also called RNA interference, controls the elimination of transcripts from mobile and repetitive DNA elements of the genome but also the degradation of exogenous RNA of viral origin for instance. The miRNA pathway on the other side is a mean to specifically regulate the expression of target genes.
Subcellular Location	Cytoplasm; Cytoplasm; Perinuclear region
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2911378
pNuLoCRegion	
