UniprotID	Q9H0X9-2
Accession	Q9H0X9;A6NDP0;A6NJS8;B4DVB0;Q54A90;Q8N596;Q9BZB0;Q9P1Z4
EntryName	OSBL5_HUMAN
ProteinName	Oxysterol-binding protein-related protein 5 (ORP-5) (OSBP-related protein 5) (Oxysterol-binding protein homolog 1)
GeneName	OSBPL5 KIAA1534 OBPH1 ORP5
Length	811
Function	Lipid transporter involved in lipid countertransport between the endoplasmic reticulum and the plasma membrane: specifically exchanges phosphatidylserine with phosphatidylinositol 4-phosphate (PI4P), delivering phosphatidylserine to the plasma membrane in exchange for PI4P, which is degraded by the SAC1/SACM1L phosphatase in the endoplasmic reticulum. Binds phosphatidylserine and PI4P in a mutually exclusive manner (PubMed:23934110, PubMed:26206935). May cooperate with NPC1 to mediate the exit of cholesterol from endosomes/lysosomes (PubMed:21220512). Binds 25-hydroxycholesterol and cholesterol (PubMed:17428193).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.700626
pNuLoCRegion	50...50;552...575;607...622;734...746
