UniprotID	Q9H6R4-3
Accession	Q9H6R4;Q5T5M3;Q5T5M4;Q7L4G6;Q8N6I0;Q8TEY9;Q8TEZ0;Q8TEZ1;Q9H675
EntryName	NOL6_HUMAN
ProteinName	Nucleolar protein 6 (Nucleolar RNA-associated protein) (Nrap)
GeneName	NOL6
Length	699
Function	Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit. During the assembly of the SSU processome in the nucleolus, many ribosome biogenesis factors, an RNA chaperone and ribosomal proteins associate with the nascent pre-rRNA and work in concert to generate RNA folding, modifications, rearrangements and cleavage as well as targeted degradation of pre-ribosomal RNA by the RNA exosome.
Subcellular Location	Nucleus; Nucleolus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.63623476
pNuLoCRegion	27...54
