UniprotID	Q9NZL6-2
Accession	Q9NZL6;Q5SXQ2;Q5SXQ6;Q9HBY3;Q9HBY4;Q9NZL5;Q9UG43;Q9Y2G6
EntryName	RGL1_HUMAN
ProteinName	Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1)
GeneName	RGL1 KIAA0959 RGL
Length	803
Function	Probable guanine nucleotide exchange factor.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6267156
pNuLoCRegion	30...34;213...232;258...258
