UniprotID	Q9C0K0-2
Accession	Q9C0K0;Q9H162
EntryName	BC11B_HUMAN
ProteinName	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1)
GeneName	BCL11B CTIP2 RIT1
Length	823
Function	Key regulator of both differentiation and survival of T-lymphocytes during thymocyte development in mammals. Essential in controlling the responsiveness of hematopoietic stem cells to chemotactic signals by modulating the expression of the receptors CCR7 and CCR9, which direct the movement of progenitor cells from the bone marrow to the thymus (PubMed:27959755). Is a regulator of IL2 promoter and enhances IL2 expression in activated CD4(+) T-lymphocytes (PubMed:16809611). Tumor-suppressor that represses transcription through direct, TFCOUP2-independent binding to a GC-rich response element (By similarity). May also function in the P53-signaling pathway (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9733436
pNuLoCRegion	20...43;72...94;360...374;391...418;461...471;610...633;665...666;721...745;765...791
