UniprotID	Q9BQ52-4
Accession	Q9BQ52;B4DPL9;Q6IA94;Q9HAS8;Q9HAS9;Q9NVT1
EntryName	RNZ2_HUMAN
ProteinName	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)
GeneName	ELAC2 HPC2
Length	786
Function	Zinc phosphodiesterase, which displays mitochondrial tRNA 3'-processing endonuclease activity. Involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA (PubMed:21593607). Associates with mitochondrial DNA complexes at the nucleoids to initiate RNA processing and ribosome assembly (PubMed:24703694).
Subcellular Location	Mitochondrion; Mitochondrion matrix; Mitochondrion nucleoid; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.35746434
pNuLoCRegion	28...38
