UniprotID	Q9HCM4-4
Accession	Q9HCM4;Q7Z5S1;Q8IZ12;Q9H975
EntryName	E41L5_HUMAN
ProteinName	Band 4.1-like protein 5 (Erythrocyte membrane protein band 4.1-like 5)
GeneName	EPB41L5 KIAA1548
Length	687
Function	Plays a role in the formation and organization of tight junctions during the establishment of polarity in epithelial cells.
Subcellular Location	Cytoplasm; Cell junction; Adherens junction; Cell membrane; Photoreceptor inner segment
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.052198198
pNuLoCRegion	
