UniprotID	Q6T4R5-2
Accession	Q6T4R5;B7ZVX8;E2DH69;Q5J7Q0;Q5J7Q1;Q68DR5
EntryName	NHS_HUMAN
ProteinName	Actin remodeling regulator NHS (Congenital cataracts and dental anomalies protein) (Nance-Horan syndrome protein)
GeneName	NHS
Length	1630
Function	May function in cell morphology by maintaining the integrity of the circumferential actin ring and controlling lamellipod formation. Involved in the regulation eye, tooth, brain and craniofacial development.
Subcellular Location	Apical cell membrane; Cell projection; Lamellipodium; Cell junction; Tight junction; Cell junction; Focal adhesion; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7959991
pNuLoCRegion	448...448;1022...1038
