UniprotID	Q9NWF9-1
Accession	Q9NWF9;Q6Y691;Q75ML7;Q7Z2H7;Q7Z7C1;Q8NHW7;Q9NYT1
EntryName	RN216_HUMAN
ProteinName	E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B)
GeneName	RNF216 TRIAD3 UBCE7IP1 ZIN
Length	923
Function	E3 ubiquitin ligase which accepts ubiquitin from specific E2 ubiquitin-conjugating enzymes, and then transfers it to substrates promoting their ubiquitination (PubMed:34998453). Plays a role in the regulation of antiviral responses by promoting the degradation of TRAF3, TLR4 and TLR9 (PubMed:15107846, PubMed:19893624). In turn, down-regulates NF-kappa-B and IRF3 activation as well as beta interferon production. Also participates in the regulation of autophagy by ubiquitinating BECN1 leading to its degradation and autophagy inhibition (PubMed:25484083). Plays a role in ARC-dependent synaptic plasticity by mediating ARC ubiquitination resulting in its rapid proteasomal degradation (PubMed:24945773). Plays aso an essential role in spermatogenesis and male fertility (By similarity). Mechanistically, regulates meiosis by promoting the degradation of PRKACB through the ubiquitin-mediated lysosome pathway (By similarity). Modulates the gonadotropin-releasing hormone signal pathway by affecting the stability of STAU2 that is required for the microtubule-dependent transport of neuronal RNA from the cell body to the dendrite (By similarity).
Subcellular Location	Cytoplasm; Cytoplasmic vesicle; Clathrin-coated vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9393757
pNuLoCRegion	36...53;475...499;692...701;709...711;733...744;765...773
