UniprotID	Q6NXT1-2
Accession	Q6NXT1;Q6ZSB1;Q9UGV1
EntryName	ANR54_HUMAN
ProteinName	Ankyrin repeat domain-containing protein 54 (Lyn-interacting ankyrin repeat protein)
GeneName	ANKRD54 LIAR
Length	161
Function	Plays an important role in regulating intracellular signaling events associated with erythroid terminal differentiation.
Subcellular Location	Nucleus; Cytoplasm; Midbody
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.70887244
pNuLoCRegion	26...65
pNuLoCScore	0.20863699055555554,0.2057580825,0.19333726536363638,0.18312758991666667,0.17464037792307693,0.16745363592857143,0.1613879182,0.1558732816875,0.15086657511764706,0.12817420335294116,0.11055129629411764,0.10071657541176468,0.09904771688235293,0.09917117158823527,0.09807761541176468,0.09586543688235293,0.09110185335294117,0.07778286547058824,0.07155942841176473,0.07189178817647059,0.07233275523529413,0.0729425955882353,0.0732608055882353,0.07337375647058823,0.08837878976470588,0.10402984211764703,0.11958873035294115,0.13088709388235295,0.1416726447647059,0.15117497682352943,0.1599420368235294,0.17047059035294118,0.1830429241764706,0.19566041005882354,0.21006730088235293,0.22564379441176474,0.24179940205882358,0.25889770323529415,0.27770762970588236,0.2993165967647059,0.3223375005882353,0.33265515705882354,0.34288853823529414,0.3529630764705883,0.3684767823529412,0.3839796405882353,0.4020932388235294,0.42075755411764704,0.4381766952941176,0.45426235882352944,0.4705037694117647,0.4853625811764706,0.49915401470588233,0.5124360929411765,0.5246921594117646,0.5355200882352941,0.5486256823529412,0.5595566294117648,0.5693130494117647,0.5784411647058822,0.588190004117647,0.5966702476470589,0.6053436982352941,0.6126357594117646,0.6200076511764706,0.6265238711764706,0.6323325164705881,0.6378578364705882,0.6428904805882352,0.6474612076470588,0.6520190799999999,0.6562275223529411,0.6594491147058824,0.657838444117647,0.6569459441176471,0.6550688235294118,0.6535871117647057,0.652368088235294,0.6511467411764705,0.6501054435294118,0.6490821535294119,0.6481081335294118,0.6471771582352941,0.6461610994117647,0.6453802911764706,0.6448635235294118,0.6445973382352941,0.6442651652941176,0.6430435611764705,0.64385375,0.6446743264705883,0.6449906176470589,0.6458460947058824,0.6463678888235294,0.6461516852941177,0.646072961764706,0.6460602441176471,0.6459400870588236,0.6458409570588236,0.6462272441176471,0.6463375441176469,0.646273258235294,0.6463795323529411,0.6464907235294117,0.6464713517647058,0.6475945988235295,0.647194231764706,0.6468373458823531,0.647224474117647,0.6473069235294118,0.6475430176470589,0.648518685882353,0.649270184117647,0.6497642370588235,0.6504082170588235,0.6510508047058823,0.6514131317647058,0.6519092935294117,0.6522770111764706,0.6524273664705884,0.6488901882352943,0.6482585564705883,0.6483215294117647,0.6486748882352941,0.6493452647058822,0.6499069629411763,0.6499609158823528,0.6502942158823528,0.6505901452941176,0.6509396352941177,0.6515334294117646,0.6521406817647059,0.6525849147058825,0.6529770794117649,0.6536585823529413,0.6545187411764706,0.6552203235294117,0.6594238017647057,0.6608268511764706,0.6614951176470588,0.6617443352941177,0.6616527211764707,0.6614554505882353,0.6617563329411765,0.6617705094117646,0.6618041835294117,0.6619605894117647,0.6620795029411765,0.6622118823529412,0.6624246605882353,0.6628164370588235,0.6630685641176471,0.6656098723529412,0.665796033125,0.6662025153333333,0.6666568707142858,0.6671962938461539,0.6678807766666667,0.6686041745454546,0.669609552,0.670725668888889
pNuLoCDScore	-0.05777041543790848,-0.08046278720261438,-0.0980856942614379,-0.10792041514379086,-0.1095892736732026,-0.10946581896732027,-0.11055937514379086,-0.11277155367320262,-0.11753513720261437,-0.12797521702941175,-0.12177783695187165,-0.11123580174019608,-0.1023076226877828,-0.09451104034033612,-0.0881271126117647,-0.08249952521691177,-0.06248778535294118,-0.024144361235294134,0.009037434058823512,0.03017051847058827,0.04262492788235296,0.05200380523529416,0.06186442141176471,0.07460515347058826,0.09194107082352944,0.1178775445882353,0.1385078724705882,0.15375200623529417,0.16946664682352947,0.18595510764705886,0.20444682411764706,0.22594284029411765,0.23395871082352943,0.2286253149411765,0.22329980788235299,0.22207598258823533,0.22680413758823528,0.23280466376470588,0.24215120199999998,0.2502869637647058,0.255133771117647,0.2586019487647059,0.26043646852941177,0.25971878676470583,0.2573546126470587,0.2535383897058824,0.24698452970588225,0.23620349147058817,0.2262881817647059,0.22690147235294122,0.2264245111764706,0.22547808823529397,0.2197132217647058,0.2126906070588236,0.20325045941176473,0.1918782052941176,0.18183095588235298,0.17226151235294113,0.16182874705882339,0.15249525529411767,0.14373646588235284,0.1350251147058823,0.12732692058823525,0.12070743411764706,0.11082343235294123,0.09828181470588226,0.08763289470588231,0.07662765882352951,0.06539710764705875,0.055697840588235126,0.04580304294117643,0.03746968411764717,-0.04622958769934642,-0.06234643240522879,-0.07721201505228761,-0.08588135328758173,-0.09077421240522882,-0.0921683812287582,-0.09267000064052293,-0.09192697028758173,-0.09143262028758174,-0.08040243661764708,-0.07055704042780751,-0.061998718681372605,-0.05459005667873307,-0.04786174141596641,-0.042428680133333355,-0.038182707628676496,-0.03305366376470592,-0.014612349705882363,0.001976658588235286,0.012086822411764717,0.019346899764705897,0.02280011652941176,0.02467925594117648,0.02572257911764706,0.026850348529411774,0.027697363058823518,0.027888589352941168,0.027647780823529408,0.02764536070588236,0.027747903764705872,0.02795721164705882,0.028851961294117656,0.028788110235294137,0.027197079117647058,0.025980220823529424,0.025676786647058816,0.024719839000000007,0.023536334000000006,0.023103393411764706,0.022048406352941183,0.020802949294117634,0.019389847764705884,0.01803133223529413,0.017010748411764726,0.0160073413529412,0.01447978817647061,0.013045475588235309,0.011300152647058831,0.01194025264705885,0.013576216764705898,0.015273141764705872,0.01653661447058824,0.017548309764705852,0.018724853882352926,0.019806450352941193,0.02143071741176468,0.023540585647058826,0.025475388941176444,0.02693387047058822,0.02830090223529412,0.0297419934117647,0.03106184223529411,0.032527665411764675,0.03410240364705881,0.03311983976470585,0.02989655152941173,0.027406061529411732,0.02516542623529408,0.02303297094117647,0.021249869176470593,0.01965832270588236,0.01814130623529417,0.01638987388235294,0.014141166602941208,0.01230372615686276,0.01108742315126049,0.009931684208144775,0.009004176715686235,0.008245082352941191,0.00759304335294117,0.007021158039215658,0.007875043921568625,0.00816204156862746,0.008001812745098036,0.007712302156862749,0.007443316862745075,0.00700868745098035,0.006170070392156807,0.005434972156862727
pNuLoCRank	Medium
UniprotNLSRegion	99..117
UniprotNESRegion	283..293
