UniprotID	A4UGR9-5
Accession	A4UGR9;A0PJ94;B2BBS0;B2BBS1;B2BBS4;B3KVH0;J3KNB1;Q53R52;Q5MJ67;Q702N7;Q86T36;Q86T38;Q86T46;Q86T51;Q86T53;Q86T55;Q86T79;Q86TB6;Q8N1M9;Q8N3R5;Q8TBV6
EntryName	XIRP2_HUMAN
ProteinName	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)
GeneName	XIRP2 CMYA3
Length	763
Function	Protects actin filaments from depolymerization (PubMed:15454575). Required for correct morphology of cell membranes and maturation of intercalated disks of cardiomyocytes via facilitating localization of XIRP1 and CDH2 to the termini of aligned mature cardiomyocytes (By similarity). Thereby required for correct postnatal heart development and growth regulation that is crucial for overall heart morphology and diastolic function (By similarity). Required for normal electrical conduction in the heart including formation of the infranodal ventricular conduction system and normal action potential configuration, as a result of its interaction with the cardiac ion channel components Scn5a/Nav1.5 and Kcna5/Kv1.5 (By similarity). Required for regular actin filament spacing of the paracrystalline array in both inner and outer hair cells of the cochlea, thereby required for maintenance of stereocilia morphology (By similarity).
Subcellular Location	Cell junction
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.58524674
pNuLoCRegion	24...34
