UniprotID	Q8N4W9-2
Accession	Q8N4W9;Q68CN7
EntryName	ZN808_HUMAN
ProteinName	Zinc finger protein 808
GeneName	ZNF808
Length	834
Function	Transcriptional repressor that targets mainly transposable elements (PubMed:37973953). Primarily targets the long terminal repeat of endogenous retroviruses classified as MER11 elements which comprise subfamilies A, B and C (PubMed:37973953). May silence transposable elements through the establishment of heterochromatin-associated trimethylation of 'Lys-9' of histone H3 (H3K9me3) (PubMed:37973953). Can also bind to certain gene promoters and other genomic regions (PubMed:37973953). Represses transcription of specific MER11 elements during differentiation toward pancreatic lineages in early pancreas development (PubMed:37973953). By repressing transcription, prevents a liver gene expression program from being aberrantly activated during pancreas differentiation (PubMed:37973953).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9415478
pNuLoCRegion	40...50;69...79;220...229;243...285;327...351;369...397;412...416;442...450;499...527;541...570;579...590;640...689;742...768;780...816
