UniprotID	Q9NS15-2
Accession	Q9NS15;O15107;Q96HB9;Q9H7K2;Q9UFN4
EntryName	LTBP3_HUMAN
ProteinName	Latent-transforming growth factor beta-binding protein 3 (LTBP-3)
GeneName	LTBP3
Length	1256
Function	Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta.
Subcellular Location	Secreted; Secreted; Extracellular space; Extracellular matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.01698738
pNuLoCRegion	
