UniprotID	A0FGR8-6
Accession	A0FGR8;A4D229;Q69YJ2;Q6UKI4;Q6ZTU0;Q6ZVU1;Q9BQS0;Q9NW47;Q9ULJ2
EntryName	ESYT2_HUMAN
ProteinName	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)
GeneName	ESYT2 FAM62B KIAA1228
Length	942
Function	Tethers the endoplasmic reticulum to the cell membrane and promotes the formation of appositions between the endoplasmic reticulum and the cell membrane. Binds glycerophospholipids in a barrel-like domain and may play a role in cellular lipid transport. Plays a role in FGF signaling via its role in the rapid internalization of FGFR1 that has been activated by FGF1 binding; this occurs most likely via the AP-2 complex. Promotes the localization of SACM1L at endoplasmic reticulum-plasma membrane contact sites (EPCS) (PubMed:27044890).
Subcellular Location	Cell membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.027942747
pNuLoCRegion	59...73
