UniprotID	Q6GYQ0-3
Accession	Q6GYQ0;A6NMA4;B9EK38;C5NU19;O94960;Q6GYP9;Q6ZT23;Q86YF3;Q86YF5;Q8ND69
EntryName	RGPA1_HUMAN
ProteinName	Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating Rap/Ran-GAP domain-like 1) (Tuberin-like protein 1) (p240)
GeneName	RALGAPA1 GARNL1 KIAA0884 TULIP1
Length	1104
Function	Catalytic subunit of the heterodimeric RalGAP1 complex which acts as a GTPase activator for the Ras-like small GTPases RALA and RALB.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5422008
pNuLoCRegion	37...42;59...71
